experiment,n,time,iterations,repetitions,Gflops/s,GByte/s
sequential,10,0.265308,100,128,0.0139435,0.111548
sequential,20,0.253497,100,16,0.0072964,0.0583712
sequential,40,0.569707,100,2,0.00162329,0.0129864
sequential,60,1.37386,100,2,0.00151457,0.0121166
sequential,100,0.620977,100,1,0.00465396,0.0372317
sequential,200,3.29944,100,1,0.00350363,0.028029
sequential,300,6.65157,100,1,0.00391035,0.0312828
sequential,500,17.1417,100,1,0.00421486,0.0337189
sequential,800,49.0422,100,1,0.00377145,0.0301716
sequential,1000,76.3199,100,1,0.00378669,0.0302935
sequential,1500,174.193,100,1,0.00373292,0.0298634
sequential,2000,326.678,100,1,0.00353866,0.0283093
sequential,2500,503.072,100,1,0.00359044,0.0287235
omp parllel,10,0.263463,100,4,0.000438786,0.00351029
omp parllel,20,2.35061,100,2,9.83585e-05,0.000786868
omp parllel,40,0.550654,100,1,0.000839731,0.00671784
omp parllel,60,0.622525,100,1,0.00167126,0.0133701
omp parllel,100,1.34109,100,1,0.00215497,0.0172397
omp parllel,200,2.91822,100,1,0.00396132,0.0316905
omp parllel,300,5.38379,100,1,0.00483117,0.0386494
omp parllel,500,16.7868,100,1,0.00430398,0.0344318
omp parllel,800,52.8293,100,1,0.00350109,0.0280087
omp parllel,1000,59.5937,100,1,0.00484951,0.0387961
omp parllel,1500,137.084,100,1,0.00474344,0.0379475
omp parllel,2000,100.918,100,1,0.0114549,0.091639
omp parllel,2500,145.138,100,1,0.0124451,0.0995604
Vanilla,10,0.488118,100,256,0.0151575,0.12126
Vanilla,20,0.495902,100,32,0.0074596,0.0596768
Vanilla,40,0.59326,100,2,0.00155885,0.0124708
Vanilla,60,1.36057,100,2,0.00152937,0.0122349
Vanilla,100,0.604364,100,1,0.00478189,0.0382551
Vanilla,200,2.53321,100,1,0.00456339,0.0365071
Vanilla,300,5.6916,100,1,0.00456989,0.0365591
Vanilla,500,16.1671,100,1,0.00446894,0.0357515
Vanilla,800,45.9367,100,1,0.00402641,0.0322113
Vanilla,1000,69.9034,100,1,0.00413428,0.0330742
Vanilla,1500,148.968,100,1,0.00436503,0.0349202
Vanilla,2000,270.287,100,1,0.00427694,0.0342155
Vanilla,2500,422.816,100,1,0.00427195,0.0341756